,Media Source,Date,Text,Compound,Tweet Count
0,BBC,Thu Mar 08 21:28:00 +0000 2018,"This Ancient Egyptian pharaoh invested more in images of himself than any other ruler, and for him, size really did… https://t.co/IUlHKvTATa",0.0,1
1,BBC,Thu Mar 08 21:00:04 +0000 2018,"""No matter where in the world, when civilisations first made art, they made it about us.""

@wmarybeard presents ton… https://t.co/1vJVwidLTH",-0.2732,2
2,BBC,Thu Mar 08 20:33:04 +0000 2018,"Jack Jarvis and Victor McDade are back for another hilarious six-part series. 

#StillGame | 9:30pm | @BBCOne |… https://t.co/zFtd4VQyKL",0.4019,3
3,BBC,Thu Mar 08 20:03:04 +0000 2018,"Lucy and Lee are back! 🙌🎉

#NotGoingOut | 9pm | @BBCOne | https://t.co/dUnnFaIoci https://t.co/gSpTMCPrSC",0.0,4
4,BBC,Thu Mar 08 18:00:06 +0000 2018,"What advice would YOU give your younger self? 🤔

#InternationalWomensDay #IWD2018 https://t.co/vIwPLtzTbO",0.0,5
5,BBC,Thu Mar 08 17:30:11 +0000 2018,"In recognition of International Women’s Day, a playlist in celebration of the funniest, saddest and most significan… https://t.co/4WCrxvJxFY",-0.1027,6
6,BBC,Thu Mar 08 17:00:09 +0000 2018,"🔬 More than half of the UK can't name a famous woman in science. 

Time to change that. 
👉 https://t.co/3HVhvFaxaT… https://t.co/KL0D1vIw8S",0.0,7
7,BBC,Thu Mar 08 16:30:05 +0000 2018,"✍️🙌 Lotte Reiniger is the unsung heroine of early animation. 

#InternationalWomensDay #IWD2018 https://t.co/Z4qDFWXcCS",0.5719,8
8,BBC,Thu Mar 08 16:05:42 +0000 2018,"RT @BBCMOTD: Favourite emoji?
Champions League or World Cup?

@TekkerzKid quizzes @ManUtd striker @MarcusRashford for #BBCOwnIt.

📺 Check o…",0.5803,9
9,BBC,Thu Mar 08 15:30:09 +0000 2018,"⚽️🥅 The story of the fall and rise of women's football, told through 10 objects collected by the National… https://t.co/xOi8wNW64N",0.0,10
10,BBC,Thu Mar 08 15:09:13 +0000 2018,"RT @bbcmusic: 🙌 @Camila_Cabello just dropped the video for 'Never Be The Same' 💕
What do you think?

Watch 👉 https://t.co/gv60m6x9Wk https:…",0.0,11
11,BBC,Thu Mar 08 15:00:05 +0000 2018,"Nine-year-old Lola thinks more girls should take up skateboarding.

Lola is rad. 🤘😝

#InternationalWomensDay… https://t.co/EeOygOVfoh",0.0,12
12,BBC,Thu Mar 08 14:30:02 +0000 2018,"🎨🖼 #AnnieSwynnerton: The woman who forced open the male art world and blazed a trail for female artists.
👉… https://t.co/rHDoqWL4iI",-0.4588,13
13,BBC,Thu Mar 08 13:30:05 +0000 2018,"🎓🎒 These women are pushing young girls into school, not marriage. 

#InternationalWomensDay #IWD2018 https://t.co/TIf5lbu3GZ",0.0,14
14,BBC,Thu Mar 08 13:09:22 +0000 2018,"RT @bbcworldservice: In Senegal, graffiti artist Zeinixx is campaigning for women's rights... with spray paint. 🇸🇳 https://t.co/cy2ddCmEKo",0.0,15
15,BBC,Thu Mar 08 13:02:03 +0000 2018,"RT @bbc5live: “That was the end of my childhood”

Money saving expert @MartinSLewis opens up to @tonylivesey about the death of his mum, th…",-0.5994,16
16,BBC,Thu Mar 08 13:00:08 +0000 2018,🎤 🎧Grime through time: A brief history of one of the biggest music genres to come out of the UK https://t.co/876CsOCFsa,0.0,17
17,BBC,Thu Mar 08 12:34:42 +0000 2018,"RT @BBCRadio4: Ten female authors who changed sci-fi: https://t.co/r5s1mqYrQD
#IWD2018 https://t.co/cQxHsT9c3E",0.0,18
18,BBC,Thu Mar 08 12:30:04 +0000 2018,"Thousands of women in the UK can't afford to buy tampons and towels. 

#InternationalWomensDay #IWD2018 https://t.co/66P7IrZ9lB",0.0,19
19,BBC,Thu Mar 08 12:00:02 +0000 2018,"👷👷‍♀️ Building future engineers - it's a lot easier than you think! 

#BitzAndBob | @CbeebiesHQ https://t.co/YV3kTIj0Dx",0.4753,20
20,BBC,Thu Mar 08 11:46:51 +0000 2018,"RT @BBCR1: 💛💛💛 

Who's ready for @thegreatkhalid in the Live Lounge?

Make sure you're listening to @claraamfo at 12pm 👉 https://t.co/48Ruy…",0.5859,21
21,BBC,Thu Mar 08 11:00:05 +0000 2018,"Life advice from one of our all-time favourite women, @DawnFrenchUK.  

#InternationalWomensDay #IWD2018 https://t.co/MAOUgpWb7J",0.0,22
22,BBC,Thu Mar 08 10:54:28 +0000 2018,RT @bbcthree: Happy International Women’s Day! Here's @StaceyDooley with some top tips for aspiring broadcasters #IWD2018 https://t.co/Rbq7…,0.6996,23
23,BBC,Thu Mar 08 10:32:59 +0000 2018,RT @bbcarts: Clay artist @_PhoebeCummings launches her new incredible new work on #InternationalWomensDay. Audiences can watch as the sculp…,0.0,24
24,BBC,Thu Mar 08 09:57:10 +0000 2018,"RT @BBCRadio4: Who are the women that inspire you the most?
From Dawn_French to @Leomie_Anderson, @ScarlettMoffatt to @saoirse_ronan, women…",0.5719,25
25,BBC,Thu Mar 08 09:30:12 +0000 2018,👔 The story behind Oscar winner James Ivory’s Timothee Chalamet shirt: https://t.co/CY4AJusVEg https://t.co/ANiWIYVSsu,0.5859,26
